TranactionCode,TransactionDate,CancelDate,TransactonNumber,CheckNumber,Payee,ReferenceNumber,CurrencyCode,BankID,ReferenceNumber,OutstandingBalance,CanceledAmount
CMZ – Cash management item – Zero balancing,1/30/2012,2/18/2012,577861008,7,Misc.,28411676,JPY,0550-0330-8,28411676,13034048.8,2244.65
NWI – Securities Related Item – New issues distribution,1/17/2012,1/23/2012,379891107,7,Investment deposit,58391626,EUR,0532-0160-7,58391626,5946276.54,4179.6
POP – Securities Related Item – Pair-off proceeds,1/16/2012,1/17/2012,927600289,2,Investment deposit,77623102,JPY,0642-0816-5,77623102,102265.35,4070.44
TRF – Transfer,1/27/2012,2/6/2012,581143346,4,Citibank,31892837,JPY,0514-0426-0,31892837,5129162.15,2786.19
CMZ – Cash management item – Zero balancing,1/19/2012,2/6/2012,494176016,4,Citibank,24445463,EUR,0839-0068-0,24445463,9881516.37,6116.87
UWC – Securities Related Item – Underwriting commission,1/28/2012,2/13/2012,175402180,9,Investment deposit,71610705,USD,2631-9138-7,71610705,5719353.37,4663.93
COL – Collections (used when entering a principal amount),1/1/2012,1/9/2012,733982615,4,Citibank,37071305,JPY,0531-0112-1,37071305,15057830.54,2381.84
COM – Commission,1/28/2012,2/25/2012,963123768,77,Investment deposit,64750712,USD,0312-0471-0,64750712,17896870.11,5116.84
STO – Standing order,1/5/2012,2/3/2012,905982550,1,Other,57355219,GBP,2631-9138-7,57355219,15834839.44,1453.66
SUB – Securities Related Item – Subscription,1/6/2012,1/9/2012,966759169,7,Checking Costs,74523057,USD,0313-0912-3,74523057,13843852.87,5474.25
CAS – Securities Related Item – Cash in Lieu,1/14/2012,1/30/2012,365693476,1,Deposits,86330628,GBP,0540-0154-7,86330628,13265324.39,656.92
SWP – Securities Related Item – SWAP payment,1/19/2012,1/22/2012,541516242,9,Citibank,89473596,JPY,0611-1341-5,89473596,13295475.35,2263.99
BNK – Securities Related Item – Bank fees,1/5/2012,1/15/2012,564605993,78,Checking Costs,59354651,JPY,0312-0471-0,59354651,11051161.31,1883.14
PRN – Securities Related Item – Principal pay-down/pay-up,1/5/2012,1/16/2012,804616653,7,Transfer,87956402,GBP,0622-0398-4,87956402,4618994.11,3272.21
TCM – Securities Related Item – Tripartite collateral management,1/7/2012,1/23/2012,470043730,2,Investment deposit,16841906,GBP,0839-0068-0,16841906,7634586.54,1535.2
CPN – Securities Related Item – Coupon payments,1/18/2012,1/19/2012,440905580,6,Service Charge,81638757,EUR,0515-0339-4,81638757,7521586.94,253.34
RTI – Returned item,1/18/2012,2/14/2012,735914918,5,Checking Costs,88936155,GBP,0313-0912-3,88936155,656254.07,6319.04
CMP – Compensation claims,1/28/2012,2/5/2012,10940694,3,Other,83330377,GBP,0611-1341-5,83330377,5499511.5,3329.53
COM – Commission,1/28/2012,2/7/2012,273965061,4,Deposits,50818726,JPY,0515-0339-4,50818726,1848565.63,6030.2
MGT – Securities Related Item – Management fees,1/1/2012,1/6/2012,765063988,7,Replenishment,96419730,EUR,0611-1341-5,96419730,18121747.52,2423.25
CMI – Cash management item – No detail,1/14/2012,1/15/2012,503325445,1,Misc.,1467683,EUR,0313-0912-3,1467683,2958755.39,4285.55
LBX – Lock box,1/18/2012,2/2/2012,199015411,79,Other,18957211,JPY,0312-0471-0,18957211,364437.13,6409.56
TRF – Transfer,1/25/2012,2/20/2012,576243542,7,Checking Costs,96400703,GBP,0313-0912-3,96400703,8478817.69,4456.18
FEX – Foreign exchange,1/20/2012,2/14/2012,881753281,9,Service Charge,40025180,GBP,0622-0398-4,40025180,9698842.02,3538.59
STP – Securities Related Item – Stamp duty,1/30/2012,2/17/2012,771536669,6,Investment deposit,90090490,USD,0550-0330-8,90090490,6938320.91,1764.8
SUB – Securities Related Item – Subscription,1/30/2012,2/28/2012,174406822,1,Checking Costs,97106809,USD,0421-0226-7,97106809,5265175.04,4373.64
SLE – Securities Related Item – Securities lending related,1/20/2012,2/18/2012,874348974,1,Replenishment,36289674,EUR,0622-0398-4,36289674,2901082.57,5696.4
PRN – Securities Related Item – Principal pay-down/pay-up,1/15/2012,1/28/2012,171426738,3,Service Charge,3148443,JPY,0540-0154-7,3148443,14628363.7,791.56
UWC – Securities Related Item – Underwriting commission,1/4/2012,1/27/2012,943741205,3,Other,36667387,GBP,0532-0160-7,36667387,4516200.83,784.84
ODC – Overdraft charge,1/1/2012,1/21/2012,917937138,8,Service Charge,61917776,GBP,0540-0154-7,61917776,7400835.24,6450.3
TRN – Securities Related Item – Transaction fee,1/8/2012,1/11/2012,159295606,4,Transfer,52911785,GBP,0532-0160-7,52911785,16186688.72,156.12
BRF – Brokerage fee,1/16/2012,1/28/2012,157827307,3,Other,16131419,EUR,0622-0398-4,16131419,7912659.72,3221.34
TAX – Securities Related Item – Withholding tax payment,1/15/2012,2/7/2012,409416435,8,Misc.,78500415,USD,2631-9138-7,78500415,15296438.15,4743.27
ODC – Overdraft charge,1/13/2012,1/25/2012,673668940,8,Checking Costs,91592221,GBP,0550-0330-8,91592221,4078303.59,2269.38
LDP – Loan deposit,1/10/2012,1/16/2012,487306820,7,Service Charge,72545107,USD,0839-0068-0,72545107,4862514.74,6010.36
WAR – Securities Related Item – Warrant,1/17/2012,2/15/2012,954444806,1,Misc.,95777424,JPY,0515-0339-4,95777424,2770504.93,972.46
EXT – Securities Related Item – External transfer for own account,1/12/2012,1/29/2012,556303808,4,Investment deposit,23939171,USD,0515-0339-4,23939171,1878547.76,903.28
COM – Commission,1/18/2012,2/12/2012,418439488,5,Service Charge,51112427,USD,0611-1341-5,51112427,17232894.41,2694.94
TRA – Securities Related Item – Internal transfer for own account,1/25/2012,1/26/2012,456371944,8,Other,41460239,JPY,0515-0339-4,41460239,1594239.06,212.21
STP – Securities Related Item – Stamp duty,1/5/2012,2/1/2012,957511525,9,Replenishment,71118063,JPY,1110-1769-4,71118063,18209233.11,447.38
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/28/2012,2/22/2012,494863412,3,Service Charge,42258536,EUR,0313-0912-3,42258536,16367026.48,2014.31
CLR – Cash letters/Cheques remittance,1/20/2012,2/10/2012,85949010,9,Transfer,73951554,USD,0515-0339-4,73951554,13138514.89,3688.64
NWI – Securities Related Item – New issues distribution,1/4/2012,1/29/2012,405354857,1,Checking Costs,40368310,EUR,0540-0154-7,40368310,1791156.17,18.29
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/30/2012,2/25/2012,846941144,7,Checking Costs,4560083,USD,0514-0426-0,4560083,13826070.83,6390.53
INT – Interest,1/28/2012,2/16/2012,625781965,8,Replenishment,59791538,JPY,0642-0816-5,59791538,7487824.15,2556.36
CHG – Charges and other expenses,1/13/2012,2/10/2012,357406601,5,Replenishment,96433869,USD,0514-0426-0,96433869,3937393.22,6167.49
RIG – Securities Related Item – Rights,1/5/2012,1/17/2012,269963651,7,Other,54646782,EUR,1110-1769-4,54646782,3189185.96,1201.65
RED – Securities Related Item – Redemption/Withdrawal,1/13/2012,1/14/2012,993120650,7,Misc.,22367321,EUR,0532-0160-7,22367321,13883872.15,4711.04
DIV – Securities Related Item – Dividends,1/16/2012,2/8/2012,757139631,2,Checking Costs,34181397,EUR,0839-0068-0,34181397,16408134.54,996.18
EXT – Securities Related Item – External transfer for own account,1/6/2012,1/8/2012,554697609,9,Service Charge,54065182,JPY,0642-0816-5,54065182,10296152.93,897.72
TAX – Securities Related Item – Withholding tax payment,1/2/2012,1/25/2012,52895251,3,Investment deposit,80145462,GBP,0532-0160-7,80145462,2726925.8,5636.27
SLE – Securities Related Item – Securities lending related,1/14/2012,2/3/2012,485680499,9,Citibank,28271810,JPY,0531-0112-1,28271810,6248782.06,5571.42
COL – Collections (used when entering a principal amount),1/24/2012,1/31/2012,535496182,3,Deposits,48042380,EUR,0611-1341-5,48042380,3699016.02,5074.51
EQA – Equivalent amount,1/28/2012,1/28/2012,279132104,7,Other,88078540,USD,0622-0398-4,88078540,817395.8,703.49
CMT – Cash management item -Topping,1/12/2012,2/9/2012,121680416,7,Service Charge,45710389,JPY,0313-0912-3,45710389,3494153.33,2376.9
TRN – Securities Related Item – Transaction fee,1/30/2012,1/31/2012,764471215,5,Misc.,417614,EUR,2631-9138-7,417614,5243547.87,4464.72
SUB – Securities Related Item – Subscription,1/24/2012,2/8/2012,262423450,5,Replenishment,35432926,EUR,0515-0339-4,35432926,1911022.13,1427
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/7/2012,1/31/2012,736869114,7,Checking Costs,54812018,EUR,2631-9138-7,54812018,5951774.96,2936.16
STO – Standing order,1/21/2012,1/31/2012,731229363,1,Checking Costs,40447672,JPY,0611-1341-5,40447672,7557816.26,999.45
TRN – Securities Related Item – Transaction fee,1/13/2012,1/16/2012,756740501,5,Checking Costs,41616708,JPY,0531-0112-1,41616708,12609970.07,5424.67
PRN – Securities Related Item – Principal pay-down/pay-up,1/28/2012,2/18/2012,21407262,2,Deposits,89809852,USD,0515-0339-4,89809852,15288007.41,324.57
COM – Commission,1/21/2012,2/3/2012,365046960,2,Other,1326879,JPY,0531-0112-1,1326879,9920235.59,4500.92
MGT – Securities Related Item – Management fees,1/13/2012,2/4/2012,345043400,9,Investment deposit,30552933,JPY,0550-0330-8,30552933,16073192.28,3588.29
CMZ – Cash management item – Zero balancing,1/10/2012,1/25/2012,253906736,5,Checking Costs,21370025,USD,0550-0330-8,21370025,10224264.89,2455.29
MAR – Securities Related Item – Margin payments/Receipts,1/9/2012,2/5/2012,686675247,4,Deposits,28318085,JPY,0515-0339-4,28318085,4411354.93,2701.6
BRF – Brokerage fee,1/6/2012,2/1/2012,916138419,5,Replenishment,41515150,EUR,0622-0398-4,41515150,10004095,4199.71
POP – Securities Related Item – Pair-off proceeds,1/16/2012,1/17/2012,898687607,4,Replenishment,92802810,EUR,0550-0330-8,92802810,7381800.13,2596.51
CHG – Charges and other expenses,1/2/2012,1/20/2012,216362883,1,Replenishment,84908583,JPY,0531-0112-1,84908583,8076633.33,5956.1
COL – Collections (used when entering a principal amount),1/21/2012,2/2/2012,735784919,6,Deposits,68081415,EUR,0540-0154-7,68081415,17476055.09,4928.08
CHG – Charges and other expenses,1/29/2012,2/13/2012,35986165,9,Replenishment,4547813,GBP,0611-1341-5,4547813,15044530.24,1158.28
BOE – Bill of exchange,1/16/2012,2/4/2012,402239786,3,Checking Costs,51394102,EUR,0421-0226-7,51394102,2616384.63,281.77
EXT – Securities Related Item – External transfer for own account,1/15/2012,1/20/2012,45105328,3,Replenishment,9062375,USD,0313-0912-3,9062375,17296423.07,2850.62
EXT – Securities Related Item – External transfer for own account,1/22/2012,2/15/2012,800356404,7,Misc.,55919928,EUR,0514-0426-0,55919928,4946347.83,6469.59
WAR – Securities Related Item – Warrant,1/3/2012,1/18/2012,57134663,2,Service Charge,56551675,GBP,0514-0426-0,56551675,3822314.91,62.1
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/4/2012,1/30/2012,992797682,6,Service Charge,9440842,EUR,0611-1341-5,9440842,9963882.76,3317.71
SUB – Securities Related Item – Subscription,1/5/2012,1/9/2012,309548887,6,Checking Costs,86666893,USD,2631-9138-7,86666893,10515264.81,2390.56
MAT – Securities Related Item – Maturity,1/6/2012,2/4/2012,478038067,2,Citibank,6338968,GBP,0642-0816-5,6338968,13609070.7,2790.68
WAR – Securities Related Item – Warrant,1/6/2012,1/27/2012,766452616,5,Other,26119136,JPY,2631-9138-7,26119136,15601707.94,1929.6
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/9/2012,2/2/2012,521449728,5,Transfer,16604946,EUR,0839-0068-0,16604946,2601562.52,3715.93
DIV – Securities Related Item – Dividends,1/27/2012,2/21/2012,182650859,6,Replenishment,22907518,JPY,0540-0154-7,22907518,7810376.07,3471.53
POP – Securities Related Item – Pair-off proceeds,1/2/2012,1/27/2012,871873573,3,Transfer,77029205,USD,0540-0154-7,77029205,16356497.33,4398.66
FEX – Foreign exchange,1/2/2012,1/31/2012,876345355,5,Replenishment,59019743,GBP,0550-0330-8,59019743,16676936.28,1468.58
CAS – Securities Related Item – Cash in Lieu,1/22/2012,1/28/2012,843640894,8,Checking Costs,66887627,USD,0622-0398-4,66887627,7925713.48,5977.88
EXT – Securities Related Item – External transfer for own account,1/9/2012,1/18/2012,618910124,80,Deposits,7499833,USD,0312-0471-0,7499833,5483288.87,5723.71
TRA – Securities Related Item – Internal transfer for own account,1/26/2012,2/23/2012,191878007,8,Misc.,16427370,JPY,1110-1769-4,16427370,15722720.59,1047.83
CMS – Cash management item – Sweeping,1/8/2012,1/21/2012,381532499,1,Deposits,63402793,USD,0839-7428-9,63402793,12119734.35,5446.5
EQA – Equivalent amount,1/27/2012,2/2/2012,382545153,3,Citibank,72458926,USD,2631-9138-7,72458926,15025130.13,1773.95
SWP – Securities Related Item – SWAP payment,1/22/2012,1/25/2012,861082084,9,Deposits,64617163,GBP,0611-1341-5,64617163,12667644.83,2158.6
UWC – Securities Related Item – Underwriting commission,1/12/2012,2/1/2012,530000049,2,Transfer,14301547,USD,0515-0339-4,14301547,13758339,3768.86
CLR – Cash letters/Cheques remittance,1/20/2012,1/25/2012,399667918,6,Deposits,86163037,JPY,0532-0160-7,86163037,15418158.46,1981.07
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/1/2012,1/10/2012,678472973,4,Other,76768490,JPY,0421-0226-7,76768490,14712798.8,6115.84
STO – Standing order,1/3/2012,1/17/2012,317531439,5,Investment deposit,79148341,GBP,1110-1769-4,79148341,16727039.43,4873.71
CMZ – Cash management item – Zero balancing,1/3/2012,1/10/2012,128491783,5,Investment deposit,35072610,JPY,0839-0068-0,35072610,14743470.67,514.09
BNK – Securities Related Item – Bank fees,1/1/2012,1/29/2012,119467023,1,Transfer,73495025,USD,1110-1769-4,73495025,14114489.44,6360.74
CMP – Compensation claims,1/6/2012,2/1/2012,294826483,9,Replenishment,35990717,USD,0531-0112-1,35990717,12506046.93,2540.28
COM – Commission,1/22/2012,2/19/2012,747552476,5,Transfer,84608936,USD,0611-1341-5,84608936,17294569.7,2871.65
RTI – Returned item,1/1/2012,1/7/2012,52523670,2,Investment deposit,85442601,USD,0550-0330-8,85442601,9855611.37,5877.1
DIV – Securities Related Item – Dividends,1/7/2012,1/14/2012,853155988,6,Transfer,76270021,GBP,0515-0339-4,76270021,13104339.37,5613.7
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/11/2012,1/16/2012,678282345,4,Other,31928353,JPY,0514-0426-0,31928353,4795712.15,5652.29
REC – Securities Related Item – Tax reclaim,1/13/2012,2/6/2012,546597501,8,Replenishment,43418548,JPY,0421-0226-7,43418548,8534489.57,4705.92
POP – Securities Related Item – Pair-off proceeds,1/8/2012,1/13/2012,190400047,4,Transfer,18454899,GBP,0540-0154-7,18454899,16503179.46,4297.01
RTI – Returned item,1/27/2012,2/3/2012,6308532,2,Transfer,47070022,USD,2631-9138-7,47070022,14258264,4687.93
RIG – Securities Related Item – Rights,1/22/2012,1/31/2012,432616187,8,Other,60706088,GBP,0532-0160-7,60706088,8003253.15,896.76
INT – Interest,1/13/2012,1/20/2012,873930179,3,Checking Costs,24505848,USD,0611-1341-5,24505848,1705435.44,6215.08
DIV – Securities Related Item – Dividends,1/6/2012,1/24/2012,941872593,1,Checking Costs,43302461,EUR,0839-0068-0,43302461,10811109.17,4050.58
SWP – Securities Related Item – SWAP payment,1/19/2012,2/2/2012,289082293,7,Checking Costs,17540173,JPY,0421-0226-7,17540173,9849462.69,2898.44
CLR – Cash letters/Cheques remittance,1/4/2012,2/2/2012,425075051,2,Transfer,28109647,USD,2631-9138-7,28109647,16291980.67,6108.81
NWI – Securities Related Item – New issues distribution,1/9/2012,1/21/2012,509045291,7,Misc.,92711861,JPY,2631-9138-7,92711861,12847438.83,4184.1
TRF – Transfer,1/16/2012,2/3/2012,801625082,8,Other,14557532,GBP,0514-0426-0,14557532,15628295.19,4727.27
STP – Securities Related Item – Stamp duty,1/10/2012,2/5/2012,471671857,5,Misc.,17897188,USD,0839-7428-9,17897188,7868186.41,6422.1
STO – Standing order,1/28/2012,2/19/2012,754825511,4,Citibank,28781685,GBP,0642-0816-5,28781685,6448089.96,2929.56
FEX – Foreign exchange,1/1/2012,1/27/2012,662750928,7,Misc.,7383475,EUR,0839-7428-9,7383475,8773010.59,3661.75
MAR – Securities Related Item – Margin payments/Receipts,1/26/2012,1/26/2012,690178553,8,Investment deposit,33336096,JPY,0540-0154-7,33336096,17532601.81,1768.56
MSC – Miscellaneous,1/8/2012,1/9/2012,604451214,5,Citibank,46888157,GBP,0839-7428-9,46888157,11018056.26,6278.81
FEX – Foreign exchange,1/9/2012,1/31/2012,34083838,9,Investment deposit,98634739,GBP,0839-7428-9,98634739,9633089.22,4422.58
NWI – Securities Related Item – New issues distribution,1/23/2012,2/3/2012,494346297,1,Deposits,64931754,GBP,0421-0226-7,64931754,12738234.33,3135.18
MGT – Securities Related Item – Management fees,1/2/2012,1/31/2012,60678130,8,Investment deposit,7662406,GBP,0540-0154-7,7662406,14498755.91,4251.6
CMN – Cash management item – Notional pooling,1/12/2012,1/22/2012,117789111,3,Deposits,57276646,JPY,0550-0330-8,57276646,11665729.07,3059.66
TRN – Securities Related Item – Transaction fee,1/2/2012,1/3/2012,766752954,3,Checking Costs,84514892,GBP,0550-0330-8,84514892,14817569.48,3982.24
CAS – Securities Related Item – Cash in Lieu,1/3/2012,1/30/2012,141131897,6,Citibank,54403487,USD,0839-0068-0,54403487,14371470.24,177.27
CMS – Cash management item – Sweeping,1/9/2012,1/14/2012,459532770,3,Replenishment,59819579,EUR,0611-1341-5,59819579,5039543.06,2148.45
RIG – Securities Related Item – Rights,1/16/2012,2/7/2012,665599916,8,Transfer,49271277,JPY,0540-0154-7,49271277,1240171.91,394.35
DIS – Securities Related Item – Gains disbursement,1/3/2012,1/13/2012,731075875,5,Deposits,93815465,JPY,0839-0068-0,93815465,159082.35,1588.21
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/1/2012,1/28/2012,709018445,6,Deposits,87067820,JPY,0839-0068-0,87067820,15273144.06,3395.28
POP – Securities Related Item – Pair-off proceeds,1/10/2012,2/3/2012,791258268,4,Replenishment,19234096,USD,0532-0160-7,19234096,6465172.04,5020.33
CAS – Securities Related Item – Cash in Lieu,1/17/2012,1/26/2012,237466614,1,Investment deposit,40641900,USD,0313-0912-3,40641900,17664198.63,2780.39
CLR – Cash letters/Cheques remittance,1/17/2012,2/1/2012,546396380,5,Other,10141418,EUR,0421-0226-7,10141418,223580.44,4746.03
ODC – Overdraft charge,1/20/2012,1/26/2012,898339351,3,Replenishment,8163586,USD,0515-0339-4,8163586,3017437.87,5088.71
MAT – Securities Related Item – Maturity,1/22/2012,2/17/2012,22117551,1,Misc.,24181669,JPY,0550-0330-8,24181669,14841555.3,2761.03
CMZ – Cash management item – Zero balancing,1/27/2012,2/7/2012,143433810,6,Investment deposit,35758295,GBP,0421-0226-7,35758295,14567036.76,3347.55
NWI – Securities Related Item – New issues distribution,1/26/2012,2/21/2012,955407306,9,Investment deposit,24807038,USD,0514-0426-0,24807038,16873755.91,6275.56
MAR – Securities Related Item – Margin payments/Receipts,1/16/2012,2/13/2012,454471020,3,Investment deposit,28859302,EUR,0622-0398-4,28859302,12814981.09,4767.32
REC – Securities Related Item – Tax reclaim,1/9/2012,1/11/2012,37120401,2,Checking Costs,49354756,USD,0531-0112-1,49354756,5133882.98,4239.34
CMT – Cash management item -Topping,1/13/2012,1/25/2012,646966476,4,Other,43013660,GBP,0839-7428-9,43013660,15205751.69,3795.27
BOE – Bill of exchange,1/23/2012,2/9/2012,562246683,1,Investment deposit,36211275,EUR,0540-0154-7,36211275,14227091.09,1638.65
STP – Securities Related Item – Stamp duty,1/6/2012,1/14/2012,233426171,6,Other,74059321,USD,0421-0226-7,74059321,12818142.07,6290.95
CMS – Cash management item – Sweeping,1/23/2012,2/16/2012,564110444,1,Citibank,30312198,USD,0550-0330-8,30312198,16291355.31,1095.08
CPN – Securities Related Item – Coupon payments,1/30/2012,2/1/2012,503253970,1,Deposits,5602684,JPY,0515-0339-4,5602684,11884109.41,3445.86
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/15/2012,1/16/2012,713469590,3,Deposits,2781624,EUR,0550-0330-8,2781624,2312818.94,4329.29
RED – Securities Related Item – Redemption/Withdrawal,1/4/2012,1/30/2012,623707481,8,Misc.,98574702,USD,0839-7428-9,98574702,8401002.26,1728.6
BNK – Securities Related Item – Bank fees,1/3/2012,1/21/2012,308031589,2,Citibank,2397383,EUR,0421-0226-7,2397383,4277898.52,22.34
FEX – Foreign exchange,1/24/2012,1/29/2012,969864480,4,Citibank,86437684,GBP,0532-0160-7,86437684,12183471.91,2130.25
TCK – Travellers cheques,1/2/2012,1/17/2012,694768167,7,Deposits,28488395,JPY,0540-0154-7,28488395,6657666.33,1536.81
SEC – Securities (used when entering a principal amount),1/18/2012,1/28/2012,836925717,5,Investment deposit,87591756,EUR,1110-1769-4,87591756,9403275.72,2133.34
TCM – Securities Related Item – Tripartite collateral management,1/26/2012,2/8/2012,313209820,8,Checking Costs,3188407,JPY,0839-0068-0,3188407,12855985.28,1792.96
NWI – Securities Related Item – New issues distribution,1/27/2012,2/5/2012,625976707,5,Service Charge,95749735,EUR,0532-0160-7,95749735,128304.15,405.49
TRA – Securities Related Item – Internal transfer for own account,1/7/2012,1/25/2012,311358115,3,Checking Costs,23094139,EUR,0421-0226-7,23094139,436285.35,913.75
LBX – Lock box,1/23/2012,2/12/2012,30939331,6,Investment deposit,54154795,USD,0540-0154-7,54154795,17603673.72,2019.53
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/8/2012,1/31/2012,13390569,8,Checking Costs,31895630,GBP,0531-0112-1,31895630,16874447.07,1900.78
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/10/2012,1/28/2012,201765722,5,Service Charge,49863249,GBP,0622-0398-4,49863249,3519829.37,1277.56
TAX – Securities Related Item – Withholding tax payment,1/8/2012,1/30/2012,68531801,7,Replenishment,36578370,EUR,0514-0426-0,36578370,12913101.98,290.97
OPT – Securities Related Item – Options,1/6/2012,2/4/2012,869196049,9,Service Charge,31047938,JPY,1110-1769-4,31047938,12770244.59,4753.77
LBX – Lock box,1/29/2012,2/19/2012,117094637,81,Deposits,23796778,JPY,0312-0471-0,23796778,3730755.43,5820.92
MGT – Securities Related Item – Management fees,1/30/2012,2/9/2012,722697631,5,Deposits,33019496,USD,0540-0154-7,33019496,5063856.46,2079.36
DCR – Documentary credit (used when entering a principal amount),1/24/2012,2/17/2012,379486506,8,Investment deposit,83288221,JPY,0550-0330-8,83288221,8308859.37,1323.4
EQA – Equivalent amount,1/20/2012,1/22/2012,988318469,3,Investment deposit,9961754,USD,0622-0398-4,9961754,18501339.67,5612.32
CHG – Charges and other expenses,1/28/2012,2/11/2012,552124921,1,Investment deposit,83706562,USD,0532-0160-7,83706562,11144139.07,5564.44
SLE – Securities Related Item – Securities lending related,1/6/2012,1/11/2012,797494610,3,Deposits,71033244,JPY,0550-0330-8,71033244,10178931.81,1184.65
MAR – Securities Related Item – Margin payments/Receipts,1/11/2012,2/6/2012,579639748,4,Service Charge,92134254,JPY,0611-1341-5,92134254,13827935.52,2832.95
POP – Securities Related Item – Pair-off proceeds,1/7/2012,1/21/2012,313762108,82,Transfer,77085637,USD,0312-0471-0,77085637,7624520.28,2930.49
SEC – Securities (used when entering a principal amount),1/13/2012,1/17/2012,586534225,8,Service Charge,60843975,GBP,1110-1769-4,60843975,9668803.26,6072.85
LBX – Lock box,1/20/2012,2/18/2012,754468358,7,Citibank,36749985,USD,0839-7428-9,36749985,3243879.46,4522.11
RTI – Returned item,1/27/2012,2/13/2012,937315266,2,Transfer,80941626,JPY,0421-0226-7,80941626,6569671.2,3089.14
CHK – Cheques,1/9/2012,2/6/2012,492423649,83,Other,56961875,GBP,0312-0471-0,56961875,14790679.96,99999
TRF – Transfer,1/3/2012,1/18/2012,698023173,9,Other,96221175,USD,0313-0912-3,96221175,1518481.28,5934.96
POP – Securities Related Item – Pair-off proceeds,1/23/2012,2/8/2012,24957316,9,Investment deposit,41420598,USD,0531-0112-1,41420598,9520106.76,4255.1
DCR – Documentary credit (used when entering a principal amount),1/26/2012,2/24/2012,423181363,7,Other,76189290,JPY,2631-9138-7,76189290,15145378.09,6231.49
POP – Securities Related Item – Pair-off proceeds,1/14/2012,1/29/2012,472900663,5,Checking Costs,70884887,EUR,0611-1341-5,70884887,18228320.2,1230.12
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/12/2012,1/15/2012,261819699,9,Citibank,33545364,GBP,0611-1341-5,33545364,11318198.74,1791.05
EQA – Equivalent amount,1/22/2012,2/12/2012,295433739,6,Misc.,63118922,EUR,0839-0068-0,63118922,11770425.57,4227.03
BRF – Brokerage fee,1/1/2012,1/23/2012,756741541,1,Investment deposit,25799609,GBP,0839-0068-0,25799609,4708133.09,5065.44
UWC – Securities Related Item – Underwriting commission,1/29/2012,2/13/2012,531417663,7,Replenishment,58073002,JPY,0540-0154-7,58073002,15603087.31,3999
SWP – Securities Related Item – SWAP payment,1/18/2012,2/3/2012,413009748,2,Service Charge,92461255,JPY,2631-9138-7,92461255,5673969.22,5634.12
PCH – Securities Related Item – Purchase (including STIF and Time deposits),1/11/2012,1/13/2012,545234118,3,Citibank,27371451,GBP,2631-9138-7,27371451,5772515.54,117.29
OPT – Securities Related Item – Options,1/26/2012,2/15/2012,216377300,8,Checking Costs,18306416,EUR,0550-0330-8,18306416,1538753.78,2737.21
RTI – Returned item,1/7/2012,1/9/2012,369461986,2,Misc.,80076661,GBP,0550-0330-8,80076661,6534148.69,511.38
MGT – Securities Related Item – Management fees,1/30/2012,2/24/2012,485408001,5,Transfer,14870777,USD,0532-0160-7,14870777,13113652.31,1137.37
BRF – Brokerage fee,1/12/2012,2/8/2012,51686516,3,Deposits,11254799,GBP,0313-0912-3,11254799,18016280.39,559.44
COL – Collections (used when entering a principal amount),1/25/2012,2/4/2012,837768465,84,Service Charge,37928780,EUR,0312-0471-0,37928780,6321475.65,5360.01
EQA – Equivalent amount,1/3/2012,1/10/2012,728958341,85,Transfer,74487954,JPY,0312-0471-0,74487954,16991231.48,5559.38
DCR – Documentary credit (used when entering a principal amount),1/9/2012,2/7/2012,78261722,4,Service Charge,60866060,USD,0421-0226-7,60866060,1515839.67,2967.69
TRF – Transfer,1/6/2012,1/25/2012,186490049,5,Replenishment,96152222,EUR,1110-1769-4,96152222,12064350.15,3605.89
LBX – Lock box,1/21/2012,2/16/2012,293009789,86,Misc.,99601029,USD,0312-0471-0,99601029,14402833.07,6314.23
TCM – Securities Related Item – Tripartite collateral management,1/3/2012,1/13/2012,145533884,3,Service Charge,92936734,USD,0514-0426-0,92936734,8287352.33,5228.74
INT – Interest,1/22/2012,1/26/2012,281452201,2,Deposits,38083150,EUR,0642-0816-5,38083150,5815714.2,584.52
DCR – Documentary credit (used when entering a principal amount),1/21/2012,1/29/2012,303892973,9,Checking Costs,68051300,GBP,0421-0226-7,68051300,15541929.69,4852.16
COL – Collections (used when entering a principal amount),1/30/2012,2/6/2012,213061988,5,Deposits,50580493,GBP,0839-0068-0,50580493,6451754.04,5248.34
TCK – Travellers cheques,1/11/2012,2/6/2012,387463725,8,Transfer,80254084,GBP,0515-0339-4,80254084,2730596.63,5572.47
