RunDate,PickupLocation,DropoffLocation,Primary,Seconday,VehicleType,EventType,Overnight,TipGrade, CustomerType, Guide, Issues, TypeOfPayment
2/2/11,East Brady,Fairview,Kennywood Park ,Kennywood Park ,Sedan ,Corporate ,No ,High ,Religous - New ,No , ,Personal Credit Card
9/2/12,Gilberton,Big Run,lost river caverns ,lost river caverns ,Sedan ,Private ,Yes ,None ,Individual - New ,Yes ,Moving or Traffic Violation ,Credit
9/9/9,Jefferson,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Wedding ,No ,None ,Religous - Existing ,No ,Moving or Traffic Violation ,Rewards
4/4/7,East Brady,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Van ,Anniversary ,No ,Low ,Corporate - Existing ,No , ,Personal Credit Card
2/5/7,New Paris,New Paris,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Van ,Funeral ,No ,Medium ,Religous - Existing ,No ,Maintenance ,Cash
7/11/1,Gilberton,Jefferson,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Towne Car ,Cruise ,No ,None ,School District - New ,Yes ,Weather ,Cash
11/12/8,Big Run,Boswell,Kennywood Park ,Kennywood Park ,Ford Excursion ,Graduation ,No ,None ,Religous - Existing ,No , ,Cash
6/6/2,Big Run,East Brady,lost river caverns ,lost river caverns ,Sedan ,Travel/Airport ,No ,None ,School District - New ,No ,Accident ,Rewards
1/4/9,Cassandra,Gilberton,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Birthday ,Yes ,High ,Individual - Existing ,Yes ,Driver Error or Miscalculation ,Check
6/11/12,Adams,Gilberton,Philadelphia Zoo ,Philadelphia Zoo ,Towne Car ,Birthday ,No ,Low ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Rewards
8/3/6,Yorkana,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Corporate ,No ,None ,Religous - Existing ,Yes ,Accident ,Check
6/7/2,Liverpool,Gilberton,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Van ,Anniversary ,Yes ,None ,Individual - New ,Yes ,Personal ,Rewards
11/7/9,East Brady,Fairview,Kennywood Park ,Kennywood Park ,Sedan ,Private ,No ,Low ,Religous - Existing ,No ,Maintenance ,Invoiced
9/1/12,Cassandra,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Funeral ,Yes ,None ,Religous - New ,Yes ,Personal ,Personal Credit Card
7/9/2,Big Run,New Paris,Sesame Place ,Sesame Place ,Towne Car ,Anniversary ,Yes ,Medium ,School District - Existing ,Yes ,Personal ,Check
1/10/5,McVeytown,New Paris,Sesame Place ,Sesame Place ,Sedan ,Cruise ,Yes ,None ,Corporate - New ,Yes ,Maintenance ,Rewards
4/2/6,Adams,Cassandra,Philadelphia Zoo ,Philadelphia Zoo ,Sedan ,Sporting Event ,Yes ,Low ,Religous - New ,Yes ,Weather ,Credit
1/4/6,New Paris,East Brady,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Holiday ,No ,High ,Individual - New ,No ,Maintenance ,Rewards
2/12/12,Gilberton,Liverpool,Gettysburg ,Gettysburg ,Stretch ,Cruise ,No ,Medium ,Individual - New ,No ,Accident ,Cash
9/2/5,Liverpool,Liverpool,Liberty Bell ,Liberty Bell ,Sedan ,Wedding ,No ,None ,School District - New ,No , ,Cash
1/1/3,McVeytown,Fairview,Hershey park ,Hershey park ,Towne Car ,Cruise ,Yes ,High ,Individual - New ,Yes ,Personal ,Personal Credit Card
7/1/4,McVeytown,Gilberton,Hershey park ,Hershey park ,Green Limo ,Funeral ,Yes ,Medium ,Religous - New ,Yes ,Moving or Traffic Violation ,Check
9/6/6,Fairview,New Paris,Dutch Wonderland ,Dutch Wonderland ,Ford Excursion ,Sporting Event ,Yes ,Low ,School District - New ,No , ,Check
6/5/2,East Brady,Adams,Waldameer and Water World ,Waldameer and Water World ,School Bus ,Tour ,Yes ,High ,Religous - Existing ,Yes ,Moving or Traffic Violation ,Rewards
2/7/3,Boswell,Big Run,Dorney Park ,Dorney Park ,Towne Car ,Travel/Airport ,No ,Medium ,Corporate - New ,Yes , ,Credit
5/11/8,Adams,East Brady,Hershey park ,Hershey park ,Green Limo ,Private ,Yes ,Low ,Corporate - New ,No ,Moving or Traffic Violation ,Cash
5/8/6,New Paris,Fairview,Liberty Bell ,Liberty Bell ,Van ,Private ,Yes ,Low ,Individual - Existing ,Yes ,Accident ,Check
11/9/6,East Brady,Gilberton,Dorney Park ,Dorney Park ,School Bus ,Funeral ,Yes ,Medium ,Individual - New ,Yes ,Maintenance ,Invoiced
7/11/7,Fairview,Adams,Sesame Place ,Sesame Place ,Min Bus ,Travel/Airport ,Yes ,None ,School District - Existing ,No ,Moving or Traffic Violation ,Personal Credit Card
1/1/1,Cassandra,Gilberton,Sesame Place ,Sesame Place ,Church Bus ,Sporting Event ,No ,None ,Religous - New ,No ,Health Related ,Check
2/3/1,Fairview,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Ford Excursion ,Cruise ,No ,None ,Corporate - Existing ,Yes , ,Check
2/7/7,Big Run,Cassandra,Gettysburg ,Gettysburg ,Towne Car ,Graduation ,No ,None ,Religous - New ,No ,Driver Error or Miscalculation ,Personal Credit Card
9/9/1,McVeytown,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Mini Van ,Wedding ,Yes ,High ,Corporate - Existing ,No ,Moving or Traffic Violation ,Check
12/7/9,Big Run,East Brady,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Funeral ,Yes ,High ,Corporate - New ,Yes ,Weather ,Personal Credit Card
8/5/9,Jefferson,Boswell,lost river caverns ,lost river caverns ,Hummer Limo ,Cruise ,No ,High ,Religous - New ,Yes ,Weather ,Rewards
5/3/7,Big Run,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Private ,No ,Medium ,Individual - New ,No ,Weather ,Check
3/12/9,McVeytown,Yorkana,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Anniversary ,No ,High ,School District - New ,No , ,Rewards
7/5/6,Adams,Gilberton,Sesame Place ,Sesame Place ,Towne Car ,Wedding ,No ,None ,Individual - Existing ,Yes ,Accident ,Cash
10/3/5,Liverpool,Yorkana,Liberty Bell ,Liberty Bell ,Church Bus ,Holiday ,Yes ,Low ,School District - Existing ,No ,Accident ,Invoiced
2/2/9,New Paris,Boswell,Waldameer and Water World ,Waldameer and Water World ,Sedan ,Corporate ,No ,Medium ,Religous - New ,Yes ,Personal ,Credit
2/3/8,East Brady,East Brady,Liberty Bell ,Liberty Bell ,School Bus ,Wedding ,Yes ,None ,Corporate - Existing ,No ,Driver Error or Miscalculation ,Cash
12/12/6,Cassandra,New Paris,Dorney Park ,Dorney Park ,School Bus ,Sporting Event ,Yes ,High ,Corporate - Existing ,No ,Health Related ,Check
2/7/6,Gilberton,Gilberton,Sesame Place ,Sesame Place ,Min Bus ,Anniversary ,No ,High ,School District - Existing ,Yes ,Weather ,Personal Credit Card
8/2/3,East Brady,McVeytown,Kennywood Park ,Kennywood Park ,Towne Car ,Corporate ,No ,Low ,School District - Existing ,No ,Moving or Traffic Violation ,Invoiced
11/11/1,East Brady,New Paris,Gettysburg ,Gettysburg ,Stretch ,Wedding ,No ,None ,Corporate - Existing ,No , ,Credit
8/11/10,East Brady,East Brady,Gettysburg ,Gettysburg ,Towne Car ,Graduation ,Yes ,Medium ,Corporate - New ,No ,Personal ,Check
9/5/6,Gilberton,McVeytown,Liberty Bell ,Liberty Bell ,Towne Car ,Funeral ,Yes ,None ,School District - New ,No , ,Invoiced
4/10/2,East Brady,Yorkana,Hershey park ,Hershey park ,Min Bus ,Wedding ,Yes ,None ,Religous - New ,Yes ,Moving or Traffic Violation ,Cash
12/11/7,East Brady,Fairview,Sesame Place ,Sesame Place ,Towne Car ,Anniversary ,Yes ,Low ,School District - Existing ,Yes ,Health Related ,Check
3/2/1,Gilberton,East Brady,Sesame Place ,Sesame Place ,Sedan ,Sporting Event ,Yes ,Medium ,School District - New ,Yes ,Moving or Traffic Violation ,Invoiced
9/7/12,McVeytown,Boswell,Philadelphia Zoo ,Philadelphia Zoo ,Mini Van ,Cruise ,No ,None ,Religous - Existing ,Yes ,Accident ,Credit
3/12/4,Jefferson,Liverpool,lost river caverns ,lost river caverns ,School Bus ,Travel/Airport ,No ,High ,Corporate - Existing ,No ,Health Related ,Credit
5/6/3,McVeytown,Yorkana,Sesame Place ,Sesame Place ,Green Limo ,Cruise ,Yes ,High ,Corporate - New ,No ,Maintenance ,Cash
9/8/4,Jefferson,Cassandra,Waldameer and Water World ,Waldameer and Water World ,Mini Van ,Wedding ,No ,High ,Individual - Existing ,No ,Moving or Traffic Violation ,Rewards
9/2/10,Liverpool,Adams,Hershey park ,Hershey park ,Mini Van ,Wedding ,Yes ,None ,Individual - Existing ,No ,Health Related ,Invoiced
3/3/4,Adams,Boswell,Dorney Park ,Dorney Park ,Van ,Private ,Yes ,Low ,Corporate - Existing ,No ,Health Related ,Invoiced
4/10/7,McVeytown,Liverpool,lost river caverns ,lost river caverns ,Stretch ,Travel/Airport ,No ,Low ,Individual - New ,No ,Maintenance ,Cash
10/1/5,Jefferson,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Mini Van ,Travel/Airport ,Yes ,None ,Religous - Existing ,No ,Weather ,Rewards
2/2/11,New Paris,Gilberton,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Cruise ,Yes ,High ,Individual - Existing ,No ,Personal ,Rewards
11/9/6,Jefferson,Gilberton,Philadelphia Zoo ,Philadelphia Zoo ,Mini Van ,Cruise ,Yes ,None ,Individual - New ,No ,Accident ,Invoiced
8/12/8,Adams,Liverpool,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Anniversary ,No ,Low ,School District - Existing ,No ,Personal ,Personal Credit Card
2/7/6,Fairview,McVeytown,Dorney Park ,Dorney Park ,Church Bus ,Travel/Airport ,Yes ,Medium ,Individual - Existing ,Yes ,Driver Error or Miscalculation ,Cash
2/2/1,East Brady,Cassandra,Kennywood Park ,Kennywood Park ,Stretch ,Sporting Event ,No ,Low ,Individual - Existing ,Yes ,Health Related ,Invoiced
9/12/11,Fairview,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Anniversary ,Yes ,High ,School District - Existing ,No ,Accident ,Credit
1/9/10,Big Run,Yorkana,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Travel/Airport ,No ,High ,Corporate - Existing ,Yes ,Maintenance ,Check
9/11/12,New Paris,Gilberton,lost river caverns ,lost river caverns ,Stretch ,Holiday ,No ,High ,Corporate - Existing ,No ,Personal ,Check
7/2/8,Cassandra,McVeytown,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Anniversary ,No ,None ,Corporate - Existing ,No ,Weather ,Personal Credit Card
4/12/3,Boswell,Liverpool,Liberty Bell ,Liberty Bell ,School Bus ,Cruise ,Yes ,High ,Individual - Existing ,No ,Personal ,Credit
4/9/3,East Brady,Big Run,Hershey park ,Hershey park ,Van ,Graduation ,Yes ,High ,Corporate - Existing ,No ,Health Related ,Invoiced
5/6/11,New Paris,Yorkana,Gettysburg ,Gettysburg ,Limo Bus ,Anniversary ,Yes ,High ,Corporate - Existing ,Yes ,Health Related ,Credit
3/12/4,Yorkana,Fairview,Kennywood Park ,Kennywood Park ,School Bus ,Sporting Event ,No ,High ,Religous - New ,Yes , ,Cash
3/11/1,McVeytown,Boswell,Sesame Place ,Sesame Place ,Church Bus ,Holiday ,Yes ,Low ,Religous - New ,No ,Health Related ,Invoiced
1/5/10,Jefferson,Cassandra,Kennywood Park ,Kennywood Park ,Towne Car ,Holiday ,Yes ,High ,Religous - Existing ,Yes ,Health Related ,Credit
8/11/12,McVeytown,Jefferson,Sesame Place ,Sesame Place ,Towne Car ,Tour ,No ,None ,Corporate - Existing ,Yes ,Weather ,Rewards
4/2/9,Adams,Boswell,Dutch Wonderland ,Dutch Wonderland ,Towne Car ,Funeral ,Yes ,Low ,Religous - Existing ,No ,Weather ,Credit
2/12/5,McVeytown,McVeytown,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Wedding ,Yes ,Medium ,Individual - New ,Yes ,Driver Error or Miscalculation ,Check
11/12/11,Boswell,Adams,Hershey park ,Hershey park ,Stretch ,Tour ,Yes ,Low ,Religous - Existing ,Yes ,Maintenance ,Check
11/11/4,Gilberton,McVeytown,lost river caverns ,lost river caverns ,Church Bus ,Private ,Yes ,Medium ,Individual - New ,No ,Moving or Traffic Violation ,Cash
7/3/5,Yorkana,McVeytown,Kennywood Park ,Kennywood Park ,Min Bus ,Corporate ,Yes ,None ,Religous - New ,No ,Weather ,Cash
2/12/2,Big Run,Gilberton,Sesame Place ,Sesame Place ,Church Bus ,Travel/Airport ,No ,Medium ,Individual - Existing ,No ,Accident ,Check
8/7/2,Big Run,New Paris,Gettysburg ,Gettysburg ,Min Bus ,Tour ,No ,Low ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Cash
12/3/1,Cassandra,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Towne Car ,Corporate ,Yes ,Medium ,Religous - New ,No ,Maintenance ,Rewards
5/10/8,Fairview,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Limo Bus ,Funeral ,Yes ,Low ,Corporate - New ,Yes ,Health Related ,Rewards
7/6/10,Gilberton,Gilberton,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Ford Excursion ,Travel/Airport ,Yes ,High ,Religous - Existing ,No ,Health Related ,Rewards
4/6/1,Gilberton,Cassandra,lost river caverns ,lost river caverns ,Van ,Birthday ,No ,None ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Rewards
8/4/2,New Paris,Yorkana,Hershey park ,Hershey park ,Van ,Cruise ,Yes ,Medium ,School District - New ,No ,Weather ,Invoiced
8/3/12,McVeytown,New Paris,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Corporate ,No ,Low ,Religous - New ,Yes ,Maintenance ,Rewards
6/12/7,Fairview,Fairview,Dorney Park ,Dorney Park ,Min Bus ,Anniversary ,Yes ,Low ,Corporate - New ,No ,Moving or Traffic Violation ,Check
2/1/8,Gilberton,East Brady,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Sporting Event ,Yes ,Low ,Individual - Existing ,Yes ,Health Related ,Check
2/12/9,New Paris,Cassandra,Hershey park ,Hershey park ,Hummer Limo ,Private ,No ,Low ,Religous - Existing ,No ,Weather ,Personal Credit Card
1/10/7,New Paris,McVeytown,Kennywood Park ,Kennywood Park ,Ford Excursion ,Travel/Airport ,No ,None ,Corporate - Existing ,No ,Accident ,Personal Credit Card
11/11/1,Yorkana,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Funeral ,Yes ,Medium ,School District - Existing ,No ,Accident ,Personal Credit Card
11/11/6,Big Run,Big Run,Gettysburg ,Gettysburg ,Ford Excursion ,Corporate ,Yes ,None ,School District - Existing ,No , ,Check
11/6/10,Boswell,McVeytown,Hershey park ,Hershey park ,Sedan ,Travel/Airport ,Yes ,High ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
5/11/2,Big Run,New Paris,lost river caverns ,lost river caverns ,Ford Excursion ,Private ,Yes ,High ,School District - New ,Yes ,Accident ,Rewards
6/2/3,Yorkana,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Tour ,No ,High ,School District - Existing ,Yes , ,Invoiced
5/5/3,Liverpool,Jefferson,Gettysburg ,Gettysburg ,Green Limo ,Tour ,Yes ,Low ,School District - New ,No ,Maintenance ,Personal Credit Card
9/10/8,Adams,Big Run,Dorney Park ,Dorney Park ,Ford Excursion ,Funeral ,Yes ,Low ,School District - New ,No ,Maintenance ,Credit
3/7/10,East Brady,Adams,Hershey park ,Hershey park ,Sedan ,Tour ,No ,Low ,Individual - Existing ,No ,Moving or Traffic Violation ,Check
10/2/2,New Paris,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Holiday ,Yes ,None ,School District - Existing ,Yes ,Accident ,Credit
1/4/8,Yorkana,Big Run,Kennywood Park ,Kennywood Park ,School Bus ,Birthday ,No ,Medium ,Corporate - Existing ,Yes ,Weather ,Rewards
2/7/8,Liverpool,Cassandra,Liberty Bell ,Liberty Bell ,Green Limo ,Anniversary ,No ,Low ,School District - Existing ,Yes ,Weather ,Credit
5/8/4,Adams,Big Run,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Cruise ,No ,High ,Religous - New ,Yes ,Health Related ,Check
3/8/7,Liverpool,Liverpool,Hershey park ,Hershey park ,Hummer Limo ,Wedding ,Yes ,Low ,Religous - Existing ,Yes ,Accident ,Invoiced
7/9/5,Jefferson,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Sporting Event ,Yes ,High ,School District - New ,Yes , ,Check
7/9/9,Big Run,Yorkana,Dorney Park ,Dorney Park ,Hummer Limo ,Graduation ,Yes ,Low ,Individual - New ,Yes ,Personal ,Rewards
5/12/11,East Brady,Boswell,Dorney Park ,Dorney Park ,Limo Bus ,Birthday ,Yes ,Low ,School District - New ,No ,Maintenance ,Credit
1/3/7,New Paris,East Brady,Kennywood Park ,Kennywood Park ,Min Bus ,Tour ,No ,Low ,Individual - New ,No ,Driver Error or Miscalculation ,Cash
6/10/5,McVeytown,Big Run,lost river caverns ,lost river caverns ,Towne Car ,Wedding ,Yes ,Medium ,Religous - New ,No ,Accident ,Invoiced
12/7/1,Boswell,East Brady,Gettysburg ,Gettysburg ,Stretch ,Anniversary ,No ,Low ,Religous - Existing ,No ,Driver Error or Miscalculation ,Cash
8/4/9,Fairview,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Limo Bus ,Corporate ,Yes ,None ,Religous - Existing ,No ,Maintenance ,Rewards
1/10/6,Cassandra,Jefferson,lost river caverns ,lost river caverns ,Hummer Limo ,Wedding ,No ,Medium ,School District - Existing ,Yes ,Accident ,Invoiced
5/11/1,Boswell,Cassandra,Hershey park ,Hershey park ,Limo Bus ,Travel/Airport ,Yes ,High ,School District - Existing ,No ,Accident ,Invoiced
1/12/1,Cassandra,Adams,Dorney Park ,Dorney Park ,Min Bus ,Anniversary ,Yes ,Low ,School District - Existing ,Yes ,Accident ,Invoiced
6/10/8,Yorkana,New Paris,Gettysburg ,Gettysburg ,Hummer Limo ,Private ,No ,Low ,Corporate - Existing ,No ,Personal ,Cash
9/12/3,Adams,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Corporate ,Yes ,Low ,School District - Existing ,No ,Accident ,Cash
1/6/2,Adams,Boswell,lost river caverns ,lost river caverns ,Sedan ,Corporate ,No ,None ,Corporate - Existing ,No , ,Personal Credit Card
9/5/7,Big Run,Jefferson,Sesame Place ,Sesame Place ,Mini Van ,Sporting Event ,No ,Medium ,Corporate - New ,No ,Health Related ,Check
5/3/10,Yorkana,New Paris,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Min Bus ,Anniversary ,No ,Low ,Corporate - New ,No ,Health Related ,Cash
4/5/1,Big Run,New Paris,Gettysburg ,Gettysburg ,Green Limo ,Funeral ,Yes ,Medium ,Corporate - Existing ,Yes ,Accident ,Rewards
5/9/8,McVeytown,East Brady,Dorney Park ,Dorney Park ,Min Bus ,Tour ,Yes ,None ,School District - New ,Yes ,Weather ,Check
1/6/5,East Brady,Liverpool,Hershey park ,Hershey park ,Church Bus ,Funeral ,No ,High ,Corporate - Existing ,No ,Weather ,Invoiced
8/5/12,Fairview,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Holiday ,No ,High ,Corporate - New ,No ,Accident ,Cash
4/7/9,Gilberton,Big Run,Hershey park ,Hershey park ,Hummer Limo ,Private ,No ,Low ,Corporate - Existing ,No , ,Invoiced
8/1/1,Jefferson,New Paris,Sesame Place ,Sesame Place ,Green Limo ,Holiday ,No ,Low ,Individual - New ,No ,Personal ,Invoiced
2/8/3,Fairview,Big Run,Kennywood Park ,Kennywood Park ,Green Limo ,Corporate ,No ,Low ,Religous - New ,Yes ,Driver Error or Miscalculation ,Credit
10/5/12,New Paris,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Birthday ,Yes ,High ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Invoiced
6/7/9,Yorkana,McVeytown,Sesame Place ,Sesame Place ,Limo Bus ,Cruise ,No ,Low ,Individual - New ,No ,Personal ,Credit
8/7/2,Jefferson,Adams,Sesame Place ,Sesame Place ,Towne Car ,Anniversary ,No ,None ,Individual - New ,No ,Accident ,Check
7/5/5,New Paris,East Brady,lost river caverns ,lost river caverns ,Green Limo ,Corporate ,Yes ,Medium ,Individual - Existing ,No ,Personal ,Rewards
3/9/7,Liverpool,Liverpool,Waldameer and Water World ,Waldameer and Water World ,School Bus ,Private ,Yes ,High ,Corporate - New ,Yes ,Moving or Traffic Violation ,Check
1/10/4,Adams,Boswell,Dorney Park ,Dorney Park ,Stretch ,Sporting Event ,No ,None ,Religous - New ,Yes ,Weather ,Check
11/8/6,Adams,Boswell,Liberty Bell ,Liberty Bell ,Stretch ,Graduation ,Yes ,High ,Religous - Existing ,Yes ,Personal ,Invoiced
7/5/2,New Paris,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Towne Car ,Birthday ,Yes ,None ,Individual - Existing ,No ,Health Related ,Rewards
4/2/3,Fairview,Cassandra,Liberty Bell ,Liberty Bell ,Green Limo ,Sporting Event ,No ,Low ,Religous - New ,Yes ,Personal ,Invoiced
11/12/5,New Paris,Cassandra,Sesame Place ,Sesame Place ,Sedan ,Cruise ,Yes ,Low ,School District - Existing ,No ,Driver Error or Miscalculation ,Invoiced
7/9/12,East Brady,Cassandra,Hershey park ,Hershey park ,Stretch ,Travel/Airport ,No ,None ,School District - Existing ,Yes ,Moving or Traffic Violation ,Personal Credit Card
6/12/2,Fairview,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Ford Excursion ,Wedding ,Yes ,Medium ,Religous - Existing ,Yes ,Accident ,Invoiced
8/11/2,Cassandra,Cassandra,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Mini Van ,Cruise ,Yes ,None ,Individual - Existing ,No ,Maintenance ,Personal Credit Card
10/4/12,Jefferson,Fairview,Sesame Place ,Sesame Place ,Sedan ,Birthday ,No ,High ,Religous - Existing ,No ,Personal ,Rewards
5/12/11,Cassandra,Jefferson,Kennywood Park ,Kennywood Park ,Min Bus ,Corporate ,Yes ,Low ,School District - Existing ,No ,Personal ,Credit
11/1/4,Gilberton,McVeytown,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Travel/Airport ,Yes ,None ,Individual - Existing ,No ,Personal ,Check
3/11/11,New Paris,Big Run,Dorney Park ,Dorney Park ,School Bus ,Anniversary ,Yes ,None ,Corporate - New ,Yes ,Personal ,Check
12/6/6,Yorkana,New Paris,Dorney Park ,Dorney Park ,Limo Bus ,Tour ,No ,High ,Religous - Existing ,Yes ,Maintenance ,Personal Credit Card
2/4/12,Yorkana,McVeytown,Hershey park ,Hershey park ,Church Bus ,Cruise ,No ,Medium ,Individual - Existing ,Yes ,Maintenance ,Personal Credit Card
6/5/3,McVeytown,East Brady,Kennywood Park ,Kennywood Park ,Green Limo ,Tour ,No ,None ,Corporate - Existing ,Yes ,Accident ,Check
7/9/6,Boswell,Boswell,Sesame Place ,Sesame Place ,Ford Excursion ,Private ,Yes ,High ,Corporate - New ,Yes , ,Credit
10/11/11,Gilberton,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Holiday ,Yes ,Medium ,Individual - Existing ,No ,Weather ,Credit
5/4/3,Liverpool,McVeytown,Kennywood Park ,Kennywood Park ,Church Bus ,Wedding ,Yes ,None ,Individual - Existing ,Yes ,Driver Error or Miscalculation ,Credit
7/7/9,New Paris,McVeytown,Gettysburg ,Gettysburg ,Stretch ,Sporting Event ,No ,Medium ,Religous - New ,No ,Driver Error or Miscalculation ,Invoiced
6/9/3,East Brady,Fairview,Liberty Bell ,Liberty Bell ,Green Limo ,Funeral ,Yes ,Medium ,School District - New ,No ,Moving or Traffic Violation ,Credit
5/11/7,New Paris,Big Run,Liberty Bell ,Liberty Bell ,Van ,Holiday ,Yes ,Low ,School District - New ,No ,Maintenance ,Credit
3/6/12,East Brady,Gilberton,Hershey park ,Hershey park ,Van ,Sporting Event ,Yes ,High ,School District - New ,No ,Weather ,Personal Credit Card
11/6/10,Cassandra,Adams,lost river caverns ,lost river caverns ,Towne Car ,Sporting Event ,No ,None ,School District - New ,Yes ,Maintenance ,Credit
11/7/7,Big Run,New Paris,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Stretch ,Holiday ,Yes ,High ,Religous - New ,No ,Health Related ,Invoiced
6/7/5,Liverpool,Gilberton,Gettysburg ,Gettysburg ,Green Limo ,Wedding ,Yes ,None ,Corporate - Existing ,No ,Accident ,Cash
12/7/6,New Paris,Big Run,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Sedan ,Holiday ,Yes ,Low ,Individual - Existing ,Yes ,Maintenance ,Cash
9/2/5,Boswell,New Paris,Kennywood Park ,Kennywood Park ,Green Limo ,Funeral ,Yes ,Low ,School District - New ,No ,Driver Error or Miscalculation ,Cash
10/12/6,Big Run,Yorkana,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Sporting Event ,Yes ,High ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Credit
3/2/1,McVeytown,Big Run,Dutch Wonderland ,Dutch Wonderland ,Min Bus ,Sporting Event ,No ,Low ,Corporate - New ,No , ,Credit
8/11/7,Big Run,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Church Bus ,Graduation ,No ,None ,Corporate - Existing ,Yes , ,Invoiced
1/6/6,New Paris,East Brady,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Van ,Sporting Event ,Yes ,None ,School District - New ,No ,Accident ,Invoiced
1/3/5,Big Run,Big Run,Sesame Place ,Sesame Place ,Church Bus ,Corporate ,No ,None ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Invoiced
9/1/3,Jefferson,Cassandra,Waldameer and Water World ,Waldameer and Water World ,School Bus ,Cruise ,Yes ,Low ,Religous - New ,Yes ,Personal ,Invoiced
4/2/12,McVeytown,Adams,Kennywood Park ,Kennywood Park ,Church Bus ,Sporting Event ,Yes ,Medium ,School District - Existing ,No ,Driver Error or Miscalculation ,Check
4/3/12,Liverpool,Liverpool,Dorney Park ,Dorney Park ,Green Limo ,Travel/Airport ,Yes ,None ,Religous - New ,No , ,Credit
6/8/9,Fairview,Gilberton,Sesame Place ,Sesame Place ,Green Limo ,Anniversary ,Yes ,Medium ,School District - Existing ,Yes ,Health Related ,Rewards
7/5/9,Liverpool,Fairview,Sesame Place ,Sesame Place ,Hummer Limo ,Corporate ,Yes ,None ,Religous - New ,Yes ,Moving or Traffic Violation ,Credit
8/3/10,Liverpool,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Sedan ,Graduation ,Yes ,High ,School District - New ,Yes ,Accident ,Cash
5/5/7,McVeytown,Yorkana,lost river caverns ,lost river caverns ,Van ,Graduation ,No ,High ,Corporate - Existing ,No ,Weather ,Credit
10/9/1,East Brady,Cassandra,Sesame Place ,Sesame Place ,Mini Van ,Corporate ,Yes ,High ,School District - New ,Yes ,Accident ,Credit
